,spore-print-color_cat,class_cat,population_cat,gill-attachment_cat,stalk-color-above-ring_cat,veil-type_cat,cap-color_cat,stalk-surface-above-ring_cat,gill-color_cat,bruises%3F_cat,stalk-shape_cat,odor_cat
6564,w,p,v,f,w,p,n,k,b,f,t,y
6565,w,p,v,f,p,p,e,k,b,f,t,f
6566,w,p,v,f,p,p,e,s,b,f,t,y
6567,w,p,v,f,p,p,n,s,b,f,t,f
6568,w,p,v,f,w,p,e,s,b,f,t,f
6569,w,p,v,f,w,p,n,s,b,f,t,s
6570,w,p,v,f,p,p,e,s,b,f,t,y
6571,w,p,v,f,p,p,e,k,b,f,t,s
6572,w,p,v,f,p,p,e,k,b,f,t,f
6573,w,p,v,f,p,p,e,k,b,f,t,y
6574,w,p,v,f,p,p,e,k,b,f,t,y
6575,w,p,v,f,w,p,e,s,b,f,t,f
6576,w,p,v,f,w,p,n,s,b,f,t,f
6577,w,p,v,f,p,p,n,s,b,f,t,y
6578,w,p,v,f,w,p,n,s,b,f,t,f
6579,w,p,v,f,w,p,e,s,b,f,t,y
6580,w,p,v,f,p,p,e,k,b,f,t,y
6581,w,p,v,f,p,p,n,s,b,f,t,s
6582,w,p,v,f,w,p,e,k,b,f,t,s
6583,w,p,v,f,p,p,n,s,b,f,t,s
6584,w,p,v,f,p,p,n,k,b,f,t,s
6585,w,p,v,f,w,p,e,s,b,f,t,y
6586,w,p,v,f,w,p,n,k,b,f,t,y
6587,w,p,v,f,w,p,e,s,b,f,t,y
6588,w,p,v,f,p,p,e,s,b,f,t,s
6589,w,p,v,f,w,p,n,s,b,f,t,f
6590,w,p,v,f,w,p,n,s,b,f,t,y
6591,w,p,v,f,p,p,n,k,b,f,t,s
6592,w,p,v,f,w,p,e,k,b,f,t,s
6593,w,p,v,f,p,p,e,k,b,f,t,s
6594,w,p,v,f,w,p,e,k,b,f,t,s
6595,w,p,v,f,w,p,n,k,b,f,t,s
6596,w,p,v,f,p,p,n,k,b,f,t,y
6597,w,p,v,f,w,p,n,s,b,f,t,s
6598,w,p,v,f,p,p,e,s,b,f,t,y
6599,w,e,n,f,w,p,g,s,p,f,e,n
6600,w,p,v,f,p,p,n,k,b,f,t,y
6601,w,p,v,f,w,p,e,k,b,f,t,s
6602,w,p,v,f,w,p,n,s,b,f,t,s
6603,w,p,v,f,w,p,n,s,b,f,t,s
6604,w,p,v,f,p,p,e,k,b,f,t,s
6605,w,p,v,f,p,p,n,s,b,f,t,f
6606,w,p,v,f,p,p,e,k,b,f,t,f
6607,w,p,v,f,w,p,n,s,b,f,t,s
6608,w,p,v,f,p,p,n,k,b,f,t,y
6609,w,p,v,f,p,p,e,k,b,f,t,f
6610,w,p,v,f,p,p,n,k,b,f,t,f
6611,w,p,v,f,w,p,n,s,b,f,t,f
6612,w,p,v,f,p,p,e,s,b,f,t,f
6613,w,p,v,f,w,p,e,s,b,f,t,y
6614,w,p,v,f,w,p,n,s,b,f,t,s
6615,w,p,v,f,p,p,n,k,b,f,t,f
6616,w,p,v,f,p,p,e,k,b,f,t,y
6617,w,p,v,f,w,p,e,k,b,f,t,s
6618,w,p,v,f,p,p,e,k,b,f,t,f
6619,w,p,v,f,p,p,n,s,b,f,t,s
6620,w,p,v,f,w,p,e,s,b,f,t,s
6621,w,p,v,f,p,p,n,k,b,f,t,f
6622,w,p,v,f,w,p,e,k,b,f,t,s
6623,w,p,v,f,w,p,e,k,b,f,t,y
6624,w,p,v,f,p,p,e,k,b,f,t,f
6625,w,p,v,f,w,p,e,s,b,f,t,s
6626,w,p,v,f,p,p,n,s,b,f,t,y
6627,w,p,v,f,w,p,e,s,b,f,t,s
6628,w,p,v,f,w,p,e,s,b,f,t,y
6629,w,p,v,f,w,p,n,s,b,f,t,y
6630,w,p,v,f,p,p,n,k,b,f,t,s
6631,w,p,v,f,p,p,e,s,b,f,t,y
6632,w,p,v,f,w,p,e,k,b,f,t,f
6633,w,p,v,f,w,p,n,k,b,f,t,s
6634,w,p,v,f,p,p,e,k,b,f,t,f
6635,w,p,v,f,w,p,n,k,b,f,t,s
6636,w,p,v,f,p,p,n,s,b,f,t,f
6637,w,p,v,f,p,p,e,k,b,f,t,y
6638,w,p,v,f,w,p,n,s,b,f,t,y
6639,w,p,v,f,p,p,n,s,b,f,t,y
6640,w,p,v,f,w,p,n,k,b,f,t,y
6641,w,p,v,f,w,p,n,k,b,f,t,y
6642,w,p,v,f,w,p,e,k,b,f,t,s
6643,w,p,v,f,p,p,n,k,b,f,t,f
6644,w,p,v,f,w,p,e,s,b,f,t,y
6645,w,p,v,f,p,p,n,s,b,f,t,f
6646,w,p,v,f,p,p,n,k,b,f,t,y
6647,w,p,v,f,p,p,n,s,b,f,t,s
6648,w,p,v,f,w,p,e,s,b,f,t,y
6649,w,p,v,f,w,p,n,k,b,f,t,y
6650,w,p,v,f,p,p,e,s,b,f,t,s
6651,w,p,v,f,w,p,n,k,b,f,t,y
6652,w,p,v,f,w,p,e,k,b,f,t,s
6653,w,p,v,f,p,p,e,k,b,f,t,f
6654,w,p,v,f,p,p,e,s,b,f,t,y
6655,w,p,v,f,w,p,n,s,b,f,t,s
6656,w,p,v,f,p,p,e,s,b,f,t,f
6657,w,p,v,f,p,p,n,k,b,f,t,f
6658,w,p,v,f,p,p,e,k,b,f,t,s
6659,w,p,v,f,w,p,e,s,b,f,t,y
6660,w,e,s,f,w,p,g,s,p,f,e,n
6661,w,p,v,f,w,p,n,k,b,f,t,y
6662,w,p,v,f,w,p,n,k,b,f,t,s
6663,y,e,v,a,o,p,n,s,o,f,e,n
6664,w,p,v,f,p,p,n,s,b,f,t,y
6665,w,p,v,f,p,p,n,k,b,f,t,s
6666,w,p,v,f,w,p,e,s,b,f,t,s
6667,w,p,v,f,p,p,e,k,b,f,t,s
6668,w,p,c,a,c,p,c,k,w,f,e,m
6669,w,p,v,f,w,p,e,s,b,f,t,s
6670,w,p,v,f,w,p,n,k,b,f,t,s
6671,w,p,v,f,p,p,n,k,b,f,t,y
6672,w,p,v,f,w,p,e,s,b,f,t,s
6673,w,p,v,f,p,p,e,k,b,f,t,f
6674,w,p,v,f,p,p,e,s,b,f,t,f
6675,w,p,v,f,p,p,n,s,b,f,t,f
6676,w,p,v,f,w,p,n,k,b,f,t,s
6677,w,p,v,f,p,p,e,k,b,f,t,y
6678,w,p,v,f,p,p,e,s,b,f,t,y
6679,w,p,v,f,w,p,e,s,b,f,t,s
6680,w,p,v,f,p,p,n,s,b,f,t,y
6681,w,p,v,f,w,p,e,k,b,f,t,f
6682,w,p,v,f,p,p,e,k,b,f,t,s
6683,w,p,v,f,w,p,e,k,b,f,t,f
6684,w,p,v,f,p,p,e,k,b,f,t,f
6685,w,p,v,f,w,p,e,k,b,f,t,y
6686,w,p,v,f,p,p,e,k,b,f,t,f
6687,w,p,v,f,w,p,e,s,b,f,t,s
6688,w,p,v,f,w,p,e,s,b,f,t,f
6689,w,p,v,f,p,p,e,s,b,f,t,y
6690,w,p,v,f,p,p,n,k,b,f,t,y
6691,w,p,v,f,w,p,n,s,b,f,t,s
6692,w,p,v,f,p,p,n,s,b,f,t,y
6693,w,p,v,f,w,p,n,k,b,f,t,s
6694,w,p,v,f,w,p,e,s,b,f,t,s
6695,w,p,v,f,p,p,n,s,b,f,t,f
6696,w,p,v,f,w,p,n,s,b,f,t,y
6697,w,p,v,f,w,p,n,k,b,f,t,f
6698,w,p,v,f,p,p,e,s,b,f,t,y
6699,w,p,v,f,p,p,e,s,b,f,t,s
6700,w,p,v,f,p,p,n,k,b,f,t,f
6701,w,p,v,f,w,p,e,k,b,f,t,y
6702,w,p,v,f,w,p,n,s,b,f,t,s
6703,w,p,v,f,w,p,n,k,b,f,t,s
6704,w,p,v,f,p,p,e,s,b,f,t,f
6705,w,p,v,f,p,p,n,s,b,f,t,y
6706,w,p,v,f,w,p,e,s,b,f,t,f
6707,w,p,v,f,p,p,n,k,b,f,t,y
6708,w,p,v,f,w,p,n,k,b,f,t,y
6709,w,p,v,f,p,p,n,s,b,f,t,f
6710,w,p,v,f,p,p,e,k,b,f,t,y
6711,w,p,v,f,w,p,n,s,b,f,t,f
6712,w,p,v,f,p,p,e,s,b,f,t,f
6713,w,p,v,f,w,p,e,s,b,f,t,f
6714,w,p,v,f,p,p,e,s,b,f,t,s
6715,w,p,v,f,p,p,e,k,b,f,t,y
6716,w,p,v,f,w,p,e,s,b,f,t,s
6717,w,p,v,f,w,p,n,k,b,f,t,f
6718,w,p,v,f,p,p,n,s,b,f,t,y
6719,w,p,v,f,p,p,e,s,b,f,t,s
6720,w,p,v,f,w,p,e,s,b,f,t,s
6721,w,p,v,f,p,p,e,s,b,f,t,f
6722,w,p,v,f,w,p,n,k,b,f,t,s
6723,w,p,v,f,p,p,e,k,b,f,t,f
6724,w,p,v,f,w,p,e,s,b,f,t,s
6725,w,p,v,f,p,p,n,s,b,f,t,y
6726,w,p,v,f,w,p,e,s,b,f,t,s
6727,w,p,v,f,w,p,e,k,b,f,t,y
6728,w,p,v,f,w,p,e,k,b,f,t,s
6729,w,p,v,f,p,p,n,s,b,f,t,f
6730,w,p,v,f,w,p,e,k,b,f,t,f
6731,w,p,v,f,w,p,n,k,b,f,t,s
6732,w,p,v,f,w,p,e,k,b,f,t,y
6733,w,p,v,f,p,p,e,s,b,f,t,s
6734,w,p,v,f,w,p,n,k,b,f,t,y
6735,w,p,v,f,w,p,e,k,b,f,t,s
6736,w,p,v,f,p,p,e,k,b,f,t,y
6737,w,p,v,f,p,p,e,k,b,f,t,s
6738,w,p,v,f,w,p,n,k,b,f,t,y
6739,w,p,v,f,w,p,n,s,b,f,t,y
6740,w,p,v,f,p,p,e,s,b,f,t,f
6741,w,p,v,f,w,p,n,s,b,f,t,y
6742,w,p,v,f,p,p,e,k,b,f,t,s
6743,w,p,v,f,p,p,e,k,b,f,t,y
6744,w,e,s,f,w,p,g,k,g,f,e,n
6745,w,p,v,f,w,p,e,s,b,f,t,y
6746,w,p,v,f,p,p,n,s,b,f,t,f
6747,w,p,v,f,p,p,n,s,b,f,t,s
6748,w,p,v,f,w,p,e,s,b,f,t,f
6749,w,p,v,f,w,p,e,k,b,f,t,y
6750,w,p,v,f,w,p,e,k,b,f,t,s
6751,w,p,v,f,w,p,e,k,b,f,t,y
6752,w,e,s,f,w,p,g,s,w,f,e,n
6753,w,p,v,f,w,p,n,k,b,f,t,s
6754,w,p,v,f,p,p,e,s,b,f,t,f
6755,w,p,v,f,p,p,n,s,b,f,t,s
6756,w,p,v,f,p,p,n,s,b,f,t,f
6757,w,p,v,f,w,p,n,s,b,f,t,f
6758,w,p,v,f,p,p,e,k,b,f,t,s
6759,w,p,v,f,w,p,n,s,b,f,t,s
6760,w,p,v,f,p,p,n,s,b,f,t,y
6761,w,p,v,f,p,p,e,s,b,f,t,f
6762,w,e,s,f,w,p,g,k,p,f,e,n
6763,o,e,c,a,o,p,n,s,y,f,e,n
6764,w,p,v,f,w,p,n,s,b,f,t,s
6765,w,p,v,f,p,p,n,s,b,f,t,s
6766,w,p,v,f,p,p,n,s,b,f,t,s
6767,w,p,v,f,w,p,e,k,b,f,t,s
6768,w,p,v,f,p,p,n,s,b,f,t,y
6769,w,p,v,f,p,p,n,s,b,f,t,f
6770,w,p,v,f,p,p,e,s,b,f,t,y
6771,w,p,v,f,p,p,e,k,b,f,t,f
6772,w,p,v,f,w,p,n,k,b,f,t,s
6773,w,p,v,f,w,p,e,s,b,f,t,y
6774,w,e,n,f,w,p,w,s,g,f,e,n
6775,w,p,v,f,p,p,n,s,b,f,t,f
6776,w,p,v,f,p,p,e,k,b,f,t,y
6777,w,p,v,f,p,p,n,k,b,f,t,y
6778,w,p,v,f,p,p,n,k,b,f,t,y
6779,w,p,v,f,p,p,n,k,b,f,t,f
6780,w,p,v,f,p,p,n,k,b,f,t,y
6781,w,p,v,f,w,p,n,k,b,f,t,y
6782,w,p,v,f,w,p,e,s,b,f,t,y
6783,w,p,v,f,p,p,n,s,b,f,t,y
6784,w,p,v,f,w,p,n,s,b,f,t,f
6785,w,p,v,f,w,p,n,s,b,f,t,s
6786,w,p,v,f,p,p,n,s,b,f,t,f
6787,w,p,v,f,w,p,e,s,b,f,t,s
6788,w,p,v,f,w,p,e,s,b,f,t,f
6789,w,p,v,f,w,p,e,k,b,f,t,s
6790,w,p,v,f,w,p,n,s,b,f,t,f
6791,w,p,v,f,p,p,e,s,b,f,t,s
6792,w,p,v,f,w,p,e,s,b,f,t,s
6793,w,p,v,f,p,p,e,s,b,f,t,s
6794,w,p,v,f,p,p,e,k,b,f,t,y
6795,w,p,v,f,w,p,e,k,b,f,t,s
6796,w,p,v,f,w,p,n,k,b,f,t,f
6797,w,p,v,f,w,p,n,s,b,f,t,f
6798,w,p,v,f,p,p,n,k,b,f,t,y
6799,w,p,v,f,w,p,e,k,b,f,t,f
6800,w,p,v,f,w,p,e,s,b,f,t,y
6801,w,p,v,f,p,p,e,k,b,f,t,s
6802,w,p,v,f,w,p,e,s,b,f,t,y
6803,w,p,v,f,w,p,e,s,b,f,t,f
6804,w,p,v,f,w,p,e,k,b,f,t,s
6805,w,p,v,f,w,p,e,s,b,f,t,f
6806,w,p,v,f,p,p,n,k,b,f,t,y
6807,w,p,v,f,p,p,e,s,b,f,t,y
6808,w,p,v,f,w,p,e,s,b,f,t,s
6809,w,p,v,f,p,p,e,s,b,f,t,y
6810,w,p,v,f,p,p,e,k,b,f,t,f
6811,w,p,v,f,p,p,e,k,b,f,t,f
6812,w,p,v,f,w,p,e,s,b,f,t,f
6813,w,p,v,f,w,p,e,k,b,f,t,y
6814,w,p,v,f,w,p,e,s,b,f,t,s
6815,w,p,v,f,p,p,n,k,b,f,t,y
6816,w,p,v,f,p,p,e,k,b,f,t,f
6817,w,p,v,f,p,p,n,k,b,f,t,s
6818,w,p,v,f,w,p,e,k,b,f,t,f
6819,w,p,v,f,p,p,n,k,b,f,t,y
6820,w,p,v,f,p,p,n,s,b,f,t,y
6821,w,p,v,f,p,p,e,k,b,f,t,s
6822,w,p,v,f,w,p,e,s,b,f,t,y
6823,w,p,v,f,p,p,n,s,b,f,t,y
6824,w,p,v,f,p,p,n,k,b,f,t,y
6825,w,p,v,f,w,p,e,k,b,f,t,s
6826,w,p,v,f,w,p,e,s,b,f,t,f
6827,w,e,n,f,w,p,g,k,w,f,e,n
6828,w,p,v,f,p,p,n,k,b,f,t,y
6829,w,p,v,f,w,p,n,k,b,f,t,y
6830,w,p,v,f,w,p,n,s,b,f,t,s
6831,w,p,v,f,w,p,n,s,b,f,t,s
6832,w,p,v,f,w,p,e,k,b,f,t,s
6833,w,p,v,f,p,p,e,s,b,f,t,f
6834,w,p,v,f,w,p,e,k,b,f,t,f
6835,w,p,v,f,w,p,e,k,b,f,t,f
6836,w,p,v,f,w,p,n,k,b,f,t,f
6837,w,p,v,f,p,p,e,s,b,f,t,f
6838,w,p,v,f,w,p,n,k,b,f,t,f
6839,w,p,v,f,p,p,e,k,b,f,t,f
6840,w,p,v,f,w,p,e,s,b,f,t,s
6841,w,p,v,f,w,p,e,s,b,f,t,y
6842,w,p,v,f,w,p,e,k,b,f,t,f
6843,w,p,v,f,p,p,e,s,b,f,t,s
6844,w,p,v,f,w,p,n,s,b,f,t,s
6845,w,p,v,f,w,p,e,k,b,f,t,s
6846,w,p,v,f,p,p,e,k,b,f,t,y
6847,w,p,v,f,w,p,e,s,b,f,t,s
6848,w,p,v,f,p,p,e,k,b,f,t,f
6849,o,e,c,a,o,p,n,s,n,f,e,n
6850,w,p,v,f,w,p,n,s,b,f,t,f
6851,w,p,v,f,p,p,e,k,b,f,t,s
6852,w,p,v,f,w,p,n,k,b,f,t,s
6853,w,p,v,f,p,p,e,k,b,f,t,f
6854,w,p,v,f,w,p,n,k,b,f,t,f
6855,w,p,c,f,c,p,n,k,w,f,e,m
6856,w,p,v,f,w,p,e,k,b,f,t,f
6857,w,p,v,f,w,p,e,k,b,f,t,s
6858,w,p,v,f,w,p,n,k,b,f,t,y
6859,w,p,v,f,w,p,e,s,b,f,t,f
6860,w,e,s,f,w,p,w,k,g,f,e,n
6861,w,p,v,f,p,p,n,k,b,f,t,y
6862,w,p,v,f,p,p,n,s,b,f,t,y
6863,w,p,v,f,p,p,n,s,b,f,t,y
6864,w,p,v,f,w,p,n,k,b,f,t,s
6865,w,p,v,f,w,p,n,s,b,f,t,y
6866,w,p,v,f,p,p,e,k,b,f,t,y
6867,w,p,v,f,w,p,e,k,b,f,t,f
6868,w,p,v,f,p,p,n,k,b,f,t,f
6869,w,p,v,f,p,p,n,s,b,f,t,f
6870,w,p,v,f,p,p,e,s,b,f,t,f
6871,w,p,v,f,w,p,e,s,b,f,t,y
6872,w,p,v,f,w,p,e,k,b,f,t,y
6873,w,p,v,f,p,p,n,k,b,f,t,y
6874,w,p,v,f,w,p,e,s,b,f,t,s
6875,w,p,v,f,p,p,n,k,b,f,t,f
6876,w,p,v,f,p,p,n,k,b,f,t,y
6877,w,p,v,f,w,p,e,k,b,f,t,y
6878,w,p,v,f,w,p,n,k,b,f,t,f
6879,w,p,v,f,p,p,e,k,b,f,t,f
6880,w,p,v,f,w,p,e,k,b,f,t,f
6881,w,p,v,f,p,p,n,k,b,f,t,f
6882,w,p,v,f,w,p,n,s,b,f,t,y
6883,w,p,v,f,p,p,e,k,b,f,t,f
6884,w,e,n,f,w,p,g,k,w,f,e,n
6885,w,p,v,f,p,p,e,s,b,f,t,y
6886,w,p,v,f,p,p,n,s,b,f,t,y
6887,w,p,v,f,w,p,n,s,b,f,t,s
6888,w,p,v,f,p,p,e,s,b,f,t,s
6889,w,p,v,f,w,p,e,k,b,f,t,f
6890,w,p,v,f,p,p,n,k,b,f,t,s
6891,w,p,v,f,w,p,e,s,b,f,t,s
6892,w,p,v,f,w,p,e,k,b,f,t,f
6893,w,p,v,f,p,p,n,s,b,f,t,s
6894,w,p,v,f,p,p,e,s,b,f,t,s
6895,w,p,v,f,p,p,n,s,b,f,t,s
6896,w,p,v,f,p,p,e,s,b,f,t,f
6897,w,p,v,f,p,p,e,k,b,f,t,y
6898,w,p,v,f,p,p,n,k,b,f,t,y
6899,w,p,v,f,p,p,n,k,b,f,t,f
6900,y,e,v,a,o,p,n,s,n,f,e,n
6901,w,p,v,f,w,p,n,k,b,f,t,y
6902,w,p,v,f,p,p,n,s,b,f,t,y
6903,w,p,v,f,w,p,e,k,b,f,t,f
6904,w,e,y,f,w,p,c,s,w,t,e,n
6905,y,e,c,a,o,p,n,s,n,f,e,n
6906,w,e,n,f,w,p,g,s,w,f,e,n
6907,w,e,s,f,w,p,g,s,g,f,e,n
6908,w,p,v,f,w,p,n,s,b,f,t,s
6909,w,p,v,f,w,p,e,s,b,f,t,f
6910,o,e,c,a,o,p,n,s,o,f,e,n
6911,w,p,v,f,w,p,e,k,b,f,t,s
6912,w,p,c,f,y,p,y,y,y,f,e,n
6913,w,p,v,f,w,p,e,k,b,f,t,f
6914,w,e,n,f,w,p,g,k,g,f,e,n
6915,w,p,v,f,w,p,e,s,b,f,t,f
6916,w,p,v,f,p,p,e,s,b,f,t,s
6917,w,p,v,f,w,p,e,k,b,f,t,s
6918,w,p,v,f,p,p,n,k,b,f,t,y
6919,w,p,v,f,w,p,e,k,b,f,t,s
6920,w,e,s,f,w,p,g,s,w,f,e,n
6921,w,p,v,f,w,p,n,s,b,f,t,s
6922,w,p,v,f,p,p,e,k,b,f,t,y
6923,w,p,v,f,w,p,e,k,b,f,t,f
6924,w,e,n,f,w,p,g,k,p,f,e,n
6925,w,p,v,f,w,p,n,k,b,f,t,s
6926,w,p,v,f,w,p,n,s,b,f,t,y
6927,n,e,c,a,o,p,n,s,o,f,e,n
6928,w,e,y,f,w,p,p,s,w,t,e,n
6929,w,p,v,f,w,p,n,k,b,f,t,y
6930,w,p,v,f,w,p,e,k,b,f,t,y
6931,w,p,v,f,w,p,n,s,b,f,t,s
6932,w,e,n,f,w,p,w,s,w,f,e,n
6933,w,p,v,f,p,p,e,k,b,f,t,f
6934,w,p,v,f,p,p,e,k,b,f,t,y
6935,w,p,v,f,w,p,e,k,b,f,t,y
6936,w,p,v,f,p,p,n,s,b,f,t,f
6937,w,e,s,f,w,p,w,s,p,f,e,n
6938,w,e,n,f,w,p,w,s,p,f,e,n
6939,w,p,v,f,w,p,e,k,b,f,t,y
6940,w,p,v,f,w,p,n,s,b,f,t,y
6941,w,e,v,f,w,p,n,s,w,t,e,n
6942,w,p,v,f,p,p,n,s,b,f,t,s
6943,w,p,v,f,w,p,n,s,b,f,t,y
6944,w,p,v,f,w,p,n,s,b,f,t,s
6945,w,p,c,a,c,p,e,k,w,f,e,m
6946,w,p,v,f,w,p,e,s,b,f,t,f
6947,w,p,v,f,p,p,e,s,b,f,t,s
6948,w,p,v,f,p,p,n,s,b,f,t,s
6949,w,p,v,f,w,p,e,k,b,f,t,f
6950,w,p,v,f,w,p,n,s,b,f,t,f
6951,w,p,v,f,w,p,e,s,b,f,t,f
6952,w,e,s,f,w,p,w,s,w,f,e,n
6953,w,p,v,f,w,p,n,k,b,f,t,s
6954,w,p,v,f,p,p,n,s,b,f,t,f
6955,w,p,v,f,p,p,e,s,b,f,t,y
6956,w,p,v,f,w,p,e,k,b,f,t,s
6957,w,p,v,f,p,p,n,s,b,f,t,s
6958,w,e,s,f,w,p,w,s,g,f,e,n
6959,w,p,v,f,p,p,n,s,b,f,t,f
6960,w,p,v,f,p,p,n,k,b,f,t,s
6961,w,p,v,f,w,p,n,k,b,f,t,s
6962,w,p,v,f,w,p,e,s,b,f,t,s
6963,w,p,v,f,w,p,n,k,b,f,t,y
6964,w,p,v,f,p,p,e,s,b,f,t,s
6965,w,p,v,f,p,p,e,k,b,f,t,y
6966,w,p,v,f,p,p,n,s,b,f,t,f
6967,w,e,y,f,n,p,n,y,w,f,e,n
6968,w,p,v,f,p,p,n,s,b,f,t,f
6969,w,p,v,f,p,p,e,k,b,f,t,f
6970,w,e,y,f,n,p,n,y,w,f,e,n
6971,w,p,v,f,w,p,n,k,b,f,t,f
6972,w,p,v,f,w,p,n,s,b,f,t,y
6973,w,p,v,f,w,p,n,k,b,f,t,s
6974,w,p,v,f,p,p,n,s,b,f,t,s
6975,w,e,s,f,w,p,w,s,w,f,e,n
6976,w,p,v,f,w,p,e,k,b,f,t,f
6977,w,p,v,f,p,p,e,s,b,f,t,y
6978,w,p,v,f,w,p,n,k,b,f,t,f
6979,w,p,v,f,w,p,n,k,b,f,t,f
6980,w,p,v,f,w,p,n,k,b,f,t,y
6981,w,p,v,f,w,p,e,k,b,f,t,f
6982,w,p,v,f,p,p,e,k,b,f,t,s
6983,w,p,v,f,w,p,e,k,b,f,t,f
6984,w,e,y,f,n,p,n,y,w,f,e,n
6985,w,p,v,f,p,p,e,k,b,f,t,y
6986,w,p,v,f,w,p,n,s,b,f,t,f
6987,w,p,v,f,w,p,e,k,b,f,t,f
6988,w,p,v,f,p,p,e,s,b,f,t,s
6989,n,e,c,a,o,p,n,s,n,f,e,n
6990,w,e,n,f,w,p,g,k,p,f,e,n
6991,w,p,c,f,c,p,e,k,y,f,e,m
6992,w,p,v,f,w,p,e,k,b,f,t,y
6993,w,p,v,f,p,p,e,k,b,f,t,y
6994,o,e,c,a,o,p,n,s,y,f,e,n
6995,w,p,v,f,p,p,e,k,b,f,t,s
6996,w,p,v,f,w,p,e,s,b,f,t,s
6997,w,e,s,f,w,p,w,k,p,f,e,n
6998,w,e,s,f,w,p,g,s,w,f,e,n
6999,o,e,v,a,o,p,n,s,y,f,e,n
7000,w,p,v,f,w,p,e,s,b,f,t,s
7001,w,p,v,f,w,p,n,k,b,f,t,s
7002,w,p,v,f,w,p,e,k,b,f,t,s
7003,w,e,s,f,w,p,w,k,w,f,e,n
7004,w,e,n,f,w,p,w,k,g,f,e,n
7005,w,e,s,f,w,p,w,k,p,f,e,n
7006,w,p,v,f,p,p,e,k,b,f,t,f
7007,w,p,v,f,p,p,e,s,b,f,t,s
7008,w,e,s,f,w,p,g,s,w,f,e,n
7009,w,e,s,f,w,p,w,s,g,f,e,n
7010,w,p,v,f,w,p,e,s,b,f,t,f
7011,w,e,s,f,w,p,w,s,g,f,e,n
7012,w,p,v,f,w,p,e,s,b,f,t,s
7013,w,p,v,f,w,p,n,s,b,f,t,f
7014,w,p,v,f,p,p,n,s,b,f,t,f
7015,w,e,s,f,w,p,g,s,p,f,e,n
7016,w,e,n,f,w,p,w,s,w,f,e,n
7017,w,p,v,f,w,p,e,s,b,f,t,y
7018,w,p,v,f,w,p,e,s,b,f,t,f
7019,w,e,s,f,w,p,w,k,g,f,e,n
7020,w,e,n,f,w,p,w,k,g,f,e,n
7021,w,p,v,f,p,p,e,k,b,f,t,s
7022,w,e,v,f,w,p,g,s,w,t,e,n
7023,w,p,v,f,w,p,e,k,b,f,t,y
7024,w,p,v,f,w,p,n,s,b,f,t,y
7025,b,e,c,a,o,p,n,s,y,f,e,n
7026,n,e,c,a,o,p,n,s,n,f,e,n
7027,w,p,v,f,w,p,e,k,b,f,t,s
7028,w,p,v,f,p,p,e,k,b,f,t,y
7029,w,p,v,f,w,p,n,k,b,f,t,s
7030,w,p,v,f,w,p,e,k,b,f,t,y
7031,w,p,v,f,w,p,n,s,b,f,t,y
7032,w,e,n,f,w,p,w,k,g,f,e,n
7033,n,e,c,a,o,p,n,s,o,f,e,n
7034,w,p,c,f,c,p,c,k,w,f,e,m
7035,w,e,s,f,w,p,g,s,g,f,e,n
7036,o,e,v,a,o,p,n,s,n,f,e,n
7037,b,e,v,a,o,p,n,s,y,f,e,n
7038,w,p,v,f,w,p,e,k,b,f,t,s
7039,w,e,n,f,w,p,w,s,p,f,e,n
7040,w,e,s,f,w,p,g,k,g,f,e,n
7041,n,e,v,a,o,p,n,s,o,f,e,n
7042,w,p,v,f,w,p,n,k,b,f,t,y
7043,w,p,v,f,p,p,n,k,b,f,t,s
7044,w,p,v,f,w,p,n,k,b,f,t,s
7045,w,p,v,f,w,p,e,k,b,f,t,y
7046,w,e,n,f,w,p,g,s,p,f,e,n
7047,w,p,v,f,w,p,e,k,b,f,t,s
7048,w,p,v,f,w,p,n,k,b,f,t,s
7049,w,p,v,f,p,p,e,k,b,f,t,s
7050,w,e,s,f,w,p,g,k,w,f,e,n
7051,y,e,c,a,o,p,n,s,y,f,e,n
7052,w,p,v,f,w,p,n,k,b,f,t,f
7053,w,p,v,f,p,p,n,k,b,f,t,s
7054,o,e,v,a,o,p,n,s,o,f,e,n
7055,w,p,v,f,w,p,n,k,b,f,t,y
7056,w,p,v,f,p,p,n,k,b,f,t,y
7057,w,p,v,f,w,p,e,s,b,f,t,s
7058,w,p,v,f,w,p,e,s,b,f,t,s
7059,w,p,v,f,p,p,e,s,b,f,t,s
7060,w,p,v,f,w,p,e,s,b,f,t,y
7061,w,p,v,f,p,p,n,s,b,f,t,s
7062,w,p,v,f,w,p,n,s,b,f,t,y
7063,w,e,y,f,w,p,p,s,w,t,e,n
7064,w,p,v,f,w,p,e,s,b,f,t,y
7065,w,p,c,a,c,p,n,k,w,f,e,m
7066,w,p,v,f,w,p,n,s,b,f,t,f
7067,w,e,s,f,w,p,g,k,g,f,e,n
7068,w,p,v,f,p,p,n,k,b,f,t,f
7069,w,p,v,f,p,p,n,k,b,f,t,y
7070,w,p,v,f,p,p,n,s,b,f,t,s
7071,w,p,v,f,p,p,e,s,b,f,t,y
7072,w,p,v,f,p,p,e,k,b,f,t,f
7073,w,e,y,f,w,p,c,s,w,t,e,n
7074,w,p,v,f,p,p,n,s,b,f,t,f
7075,w,p,v,f,w,p,e,s,b,f,t,f
7076,w,p,v,f,p,p,e,k,b,f,t,y
7077,w,p,v,f,p,p,e,k,b,f,t,y
