,binaryClass_cat,FICE_num,State_cat,Type_cat,Average_salary-full_professors_num,Average_salary-associate_professors_num,Average_salary-assistant_professors_num,Average_salary-all_ranks_num,Average_compensation-full_professors_num,Average_compensation-associate_professors_num,Average_compensation-assistant_professors_num,Average_compensation-all_ranks_num,Number_of_full_professors_num,Number_of_associate_professors_num,Number_of_assistant_professors_num,Number_of_instructors_num
652,N,2632.0,NJ,IIA,736.0,557.0,414.0,553.0,894.0,683.0,507.0,675.0,98.0,110.0,101.0,13.0
653,P,2638.0,NJ,IIB,477.0,391.0,317.0,404.0,600.0,498.0,412.0,514.0,46.0,42.0,21.0,5.0
654,P,2639.0,NJ,IIA,647.0,494.0,415.0,544.0,807.0,634.0,525.0,685.0,66.0,37.0,30.0,4.0
655,N,2642.0,NJ,IIB,644.0,524.0,422.0,525.0,845.0,691.0,557.0,690.0,108.0,81.0,123.0,1.0
656,P,4741.0,NJ,IIA,860.0,633.0,510.0,648.0,1060.0,805.0,664.0,820.0,61.0,73.0,61.0,6.0
657,N,6964.0,NJ,I,846.0,611.0,478.0,665.0,1045.0,780.0,624.0,838.0,601.0,393.0,258.0,90.0
658,N,8770.0,NJ,IIA,530.0,440.0,404.0,459.0,692.0,579.0,517.0,597.0,147.0,63.0,54.0,8.0
659,P,9344.0,NJ,IIB,645.0,527.0,407.0,532.0,835.0,701.0,563.0,706.0,49.0,40.0,41.0,1.0
660,P,9345.0,NJ,IIB,656.0,496.0,393.0,492.0,790.0,607.0,490.0,603.0,47.0,58.0,65.0,8.0
661,P,2093.0,NM,IIB,,,,442.0,,,,587.0,0.0,0.0,0.0,0.0
662,P,2651.0,NM,IIA,497.0,377.0,321.0,360.0,605.0,466.0,399.0,446.0,21.0,42.0,63.0,11.0
663,P,2653.0,NM,IIA,435.0,362.0,305.0,349.0,541.0,454.0,386.0,439.0,26.0,32.0,59.0,0.0
664,P,2654.0,NM,I,538.0,421.0,405.0,448.0,648.0,512.0,494.0,544.0,39.0,32.0,29.0,5.0
665,N,2657.0,NM,I,524.0,433.0,360.0,434.0,641.0,531.0,444.0,533.0,202.0,167.0,196.0,17.0
666,N,10313.0,NM,I,579.0,431.0,379.0,466.0,693.0,521.0,459.0,561.0,314.0,268.0,195.0,0.0
667,N,2568.0,NV,I,647.0,480.0,390.0,508.0,741.0,558.0,458.0,589.0,145.0,133.0,95.0,5.0
668,N,2569.0,NV,IIA,596.0,476.0,392.0,452.0,699.0,564.0,468.0,537.0,152.0,192.0,214.0,0.0
669,P,2667.0,NY,IIB,661.0,596.0,484.0,563.0,891.0,822.0,679.0,776.0,25.0,29.0,36.0,3.0
670,P,2668.0,NY,IIA,520.0,427.0,367.0,439.0,641.0,538.0,467.0,548.0,46.0,25.0,36.0,6.0
671,P,2671.0,NY,IIB,657.0,460.0,365.0,521.0,860.0,605.0,481.0,683.0,40.0,15.0,29.0,0.0
672,P,2681.0,NY,IIA,542.0,480.0,370.0,468.0,679.0,599.0,450.0,582.0,57.0,73.0,51.0,0.0
673,P,2685.0,NY,IIB,443.0,354.0,295.0,337.0,549.0,445.0,374.0,423.0,8.0,13.0,21.0,3.0
674,P,2699.0,NY,I,703.0,515.0,475.0,563.0,875.0,658.0,593.0,707.0,55.0,58.0,43.0,5.0
675,P,2701.0,NY,IIB,669.0,505.0,406.0,539.0,848.0,637.0,497.0,677.0,78.0,61.0,56.0,3.0
676,P,2703.0,NY,IIB,,388.0,336.0,366.0,,476.0,410.0,450.0,5.0,24.0,20.0,7.0
677,P,2704.0,NY,IIA,539.0,449.0,391.0,447.0,693.0,579.0,499.0,574.0,11.0,38.0,17.0,1.0
678,P,2705.0,NY,IIA,456.0,408.0,329.0,374.0,534.0,503.0,403.0,455.0,19.0,50.0,46.0,14.0
679,N,2707.0,NY,I,882.0,554.0,452.0,687.0,1136.0,767.0,646.0,915.0,477.0,185.0,199.0,11.0
680,P,2708.0,NY,IIB,733.0,516.0,395.0,508.0,943.0,652.0,509.0,654.0,49.0,19.0,56.0,6.0
681,P,2709.0,NY,IIB,352.0,289.0,275.0,303.0,436.0,366.0,363.0,387.0,11.0,6.0,14.0,1.0
682,P,2710.0,NY,IIB,684.0,514.0,433.0,607.0,872.0,673.0,600.0,784.0,35.0,18.0,6.0,0.0
683,N,2711.0,NY,I,787.0,562.0,482.0,627.0,1047.0,748.0,640.0,834.0,447.0,189.0,148.0,3.0
684,N,2711.0,NY,I,651.0,511.0,431.0,549.0,847.0,691.0,598.0,732.0,318.0,231.0,105.0,41.0
685,P,2712.0,NY,IIB,404.0,385.0,327.0,359.0,485.0,456.0,390.0,427.0,15.0,22.0,32.0,7.0
686,P,2713.0,NY,IIB,,400.0,354.0,365.0,,508.0,438.0,454.0,4.0,10.0,19.0,9.0
687,P,2718.0,NY,IIB,497.0,342.0,306.0,359.0,666.0,449.0,395.0,472.0,13.0,24.0,26.0,0.0
688,N,2722.0,NY,I,744.0,573.0,444.0,590.0,945.0,729.0,557.0,748.0,166.0,183.0,140.0,9.0
689,P,2728.0,NY,IIB,631.0,478.0,377.0,478.0,801.0,608.0,475.0,604.0,46.0,37.0,54.0,12.0
690,P,2729.0,NY,IIB,505.0,423.0,340.0,419.0,628.0,517.0,409.0,513.0,50.0,23.0,36.0,0.0
691,P,2731.0,NY,IIB,605.0,462.0,352.0,495.0,749.0,579.0,431.0,614.0,61.0,39.0,34.0,3.0
692,N,2732.0,NY,I,757.0,550.0,470.0,584.0,956.0,692.0,579.0,731.0,127.0,131.0,141.0,7.0
693,P,2734.0,NY,IIB,370.0,323.0,265.0,327.0,487.0,424.0,343.0,428.0,30.0,29.0,17.0,1.0
694,P,2735.0,NY,IIB,318.0,,261.0,278.0,376.0,,315.0,336.0,6.0,3.0,12.0,7.0
695,P,2737.0,NY,IIA,594.0,462.0,393.0,461.0,756.0,594.0,496.0,587.0,42.0,81.0,59.0,10.0
696,N,2739.0,NY,IIB,606.0,484.0,366.0,443.0,761.0,605.0,461.0,557.0,70.0,153.0,184.0,21.0
697,P,2744.0,NY,IIB,403.0,346.0,283.0,338.0,473.0,412.0,335.0,399.0,15.0,8.0,19.0,0.0
698,P,2748.0,NY,IIB,542.0,455.0,365.0,445.0,684.0,576.0,465.0,564.0,30.0,50.0,36.0,3.0
699,P,2758.0,NY,IIA,595.0,500.0,388.0,488.0,767.0,627.0,495.0,621.0,45.0,74.0,50.0,3.0
700,P,2765.0,NY,IIB,580.0,485.0,373.0,417.0,741.0,643.0,481.0,542.0,16.0,34.0,91.0,0.0
701,P,2768.0,NY,IIB,426.0,349.0,297.0,357.0,546.0,442.0,383.0,455.0,17.0,24.0,13.0,2.0
702,P,2769.0,NY,IIB,,407.0,332.0,382.0,,495.0,407.0,464.0,4.0,26.0,19.0,0.0
703,P,2772.0,NY,IIB,524.0,399.0,341.0,416.0,640.0,493.0,423.0,511.0,53.0,38.0,48.0,6.0
704,P,2775.0,NY,IIB,541.0,435.0,353.0,381.0,697.0,551.0,463.0,494.0,16.0,20.0,58.0,22.0
705,P,2777.0,NY,IIB,435.0,371.0,276.0,349.0,525.0,446.0,322.0,418.0,11.0,16.0,13.0,2.0
706,P,2778.0,NY,IIB,514.0,407.0,349.0,395.0,633.0,505.0,424.0,482.0,14.0,8.0,23.0,6.0
707,P,2779.0,NY,IIB,513.0,428.0,343.0,430.0,634.0,533.0,425.0,532.0,37.0,33.0,35.0,0.0
708,N,2785.0,NY,I,887.0,591.0,507.0,683.0,1172.0,785.0,674.0,905.0,532.0,337.0,252.0,42.0
709,P,2788.0,NY,IIA,503.0,430.0,376.0,443.0,612.0,524.0,448.0,537.0,39.0,43.0,24.0,2.0
710,N,2791.0,NY,IIA,685.0,513.0,436.0,576.0,851.0,643.0,556.0,720.0,187.0,124.0,77.0,3.0
711,N,2803.0,NY,I,750.0,548.0,475.0,640.0,922.0,703.0,601.0,799.0,190.0,118.0,61.0,0.0
712,N,2806.0,NY,IIA,568.0,476.0,417.0,466.0,710.0,603.0,527.0,587.0,182.0,215.0,179.0,13.0
713,P,2810.0,NY,IIA,487.0,409.0,351.0,397.0,609.0,506.0,435.0,493.0,19.0,56.0,37.0,6.0
714,P,2813.0,NY,IIB,623.0,478.0,398.0,541.0,779.0,610.0,495.0,677.0,39.0,14.0,13.0,0.0
715,P,2814.0,NY,IIB,642.0,492.0,397.0,498.0,831.0,639.0,516.0,646.0,42.0,69.0,48.0,5.0
716,P,2816.0,NY,IIB,515.0,429.0,357.0,434.0,667.0,567.0,474.0,570.0,52.0,53.0,49.0,1.0
717,P,2817.0,NY,IIA,492.0,398.0,377.0,425.0,642.0,535.0,495.0,562.0,56.0,51.0,43.0,4.0
718,P,2820.0,NY,IIB,543.0,466.0,350.0,446.0,689.0,607.0,457.0,573.0,22.0,14.0,14.0,7.0
719,P,2821.0,NY,IIB,513.0,427.0,376.0,432.0,635.0,512.0,451.0,524.0,29.0,40.0,36.0,1.0
720,P,2825.0,NY,IIB,495.0,398.0,349.0,372.0,584.0,478.0,419.0,446.0,12.0,15.0,46.0,8.0
721,P,2829.0,NY,IIB,627.0,473.0,366.0,488.0,799.0,613.0,472.0,627.0,50.0,56.0,40.0,7.0
722,P,2832.0,NY,IIB,510.0,408.0,374.0,419.0,617.0,526.0,454.0,515.0,18.0,16.0,26.0,3.0
723,N,2835.0,NY,I,732.0,526.0,407.0,576.0,934.0,679.0,524.0,739.0,260.0,217.0,125.0,0.0
724,N,2836.0,NY,I,705.0,511.0,407.0,555.0,902.0,665.0,528.0,716.0,172.0,175.0,82.0,0.0
725,N,2838.0,NY,I,755.0,534.0,414.0,589.0,961.0,688.0,526.0,751.0,346.0,216.0,183.0,24.0
726,N,2841.0,NY,IIA,603.0,501.0,397.0,492.0,778.0,651.0,509.0,636.0,87.0,107.0,88.0,0.0
727,N,2842.0,NY,IIA,536.0,433.0,359.0,444.0,693.0,560.0,464.0,573.0,144.0,157.0,88.0,3.0
728,P,2843.0,NY,IIA,530.0,411.0,341.0,432.0,691.0,537.0,439.0,563.0,85.0,76.0,66.0,0.0
729,P,2844.0,NY,IIA,562.0,438.0,350.0,450.0,731.0,569.0,451.0,585.0,93.0,65.0,54.0,15.0
730,P,2845.0,NY,IIA,541.0,411.0,348.0,405.0,704.0,536.0,448.0,525.0,48.0,78.0,79.0,23.0
731,N,2846.0,NY,IIA,584.0,458.0,373.0,462.0,758.0,594.0,480.0,598.0,90.0,96.0,73.0,0.0
732,N,2847.0,NY,IIA,539.0,428.0,362.0,440.0,705.0,557.0,467.0,571.0,93.0,78.0,81.0,1.0
733,N,2848.0,NY,IIA,537.0,427.0,339.0,441.0,702.0,556.0,435.0,574.0,111.0,105.0,78.0,4.0
734,N,2849.0,NY,IIA,538.0,435.0,343.0,445.0,701.0,566.0,441.0,578.0,107.0,76.0,71.0,1.0
735,P,2850.0,NY,IIA,531.0,413.0,337.0,424.0,691.0,539.0,436.0,552.0,78.0,63.0,52.0,9.0
736,N,2882.0,NY,I,648.0,475.0,394.0,526.0,851.0,645.0,528.0,701.0,371.0,301.0,205.0,10.0
737,P,2883.0,NY,IIB,487.0,394.0,339.0,401.0,642.0,520.0,439.0,527.0,27.0,46.0,32.0,0.0
738,P,2889.0,NY,IIA,638.0,508.0,399.0,512.0,841.0,677.0,501.0,667.0,60.0,50.0,54.0,9.0
739,N,2894.0,NY,I,747.0,520.0,434.0,611.0,895.0,626.0,520.0,733.0,252.0,130.0,110.0,7.0
740,P,2895.0,NY,IIB,674.0,517.0,408.0,523.0,879.0,669.0,512.0,674.0,70.0,60.0,66.0,9.0
741,P,2899.0,NY,IIB,457.0,366.0,326.0,368.0,587.0,477.0,438.0,483.0,20.0,17.0,31.0,4.0
742,P,2901.0,NY,IIB,464.0,373.0,318.0,396.0,568.0,454.0,389.0,484.0,21.0,10.0,14.0,0.0
743,N,4779.0,NY,IIA,631.0,513.0,408.0,531.0,825.0,672.0,520.0,690.0,233.0,175.0,124.0,22.0
744,P,4804.0,NY,IIA,569.0,492.0,410.0,491.0,726.0,642.0,546.0,639.0,68.0,106.0,43.0,11.0
745,P,6791.0,NY,IIB,534.0,432.0,362.0,437.0,696.0,565.0,468.0,570.0,29.0,52.0,28.0,0.0
746,P,6792.0,NY,IIA,536.0,457.0,414.0,444.0,701.0,591.0,529.0,573.0,8.0,48.0,19.0,8.0
747,P,7109.0,NY,IIB,592.0,480.0,374.0,466.0,758.0,616.0,485.0,599.0,36.0,42.0,40.0,8.0
748,N,9554.0,NY,I,762.0,548.0,423.0,601.0,970.0,704.0,534.0,767.0,400.0,338.0,218.0,9.0
749,P,10286.0,NY,IIB,543.0,437.0,361.0,430.0,706.0,562.0,468.0,554.0,33.0,47.0,35.0,3.0
750,P,3011.0,OH,IIB,,286.0,,304.0,,354.0,,371.0,5.0,6.0,5.0,1.0
751,P,3012.0,OH,IIB,484.0,418.0,329.0,398.0,624.0,530.0,437.0,515.0,52.0,58.0,58.0,4.0
752,P,3014.0,OH,IIB,530.0,431.0,360.0,464.0,662.0,552.0,464.0,587.0,74.0,39.0,35.0,0.0
753,P,3016.0,OH,IIB,368.0,309.0,272.0,312.0,466.0,389.0,347.0,399.0,16.0,13.0,19.0,1.0
754,N,3018.0,OH,I,620.0,481.0,394.0,483.0,817.0,644.0,530.0,643.0,226.0,212.0,180.0,65.0
755,P,3023.0,OH,IIA,563.0,405.0,334.0,424.0,704.0,540.0,429.0,543.0,54.0,36.0,57.0,11.0
756,N,3024.0,OH,I,754.0,518.0,470.0,585.0,948.0,663.0,600.0,744.0,213.0,133.0,126.0,58.0
757,P,3025.0,OH,IIB,419.0,364.0,300.0,346.0,527.0,459.0,379.0,436.0,32.0,37.0,60.0,3.0
758,N,3032.0,OH,IIA,611.0,459.0,390.0,486.0,750.0,575.0,495.0,606.0,166.0,223.0,128.0,14.0
759,P,3033.0,OH,IIB,477.0,412.0,339.0,360.0,575.0,482.0,401.0,423.0,10.0,21.0,52.0,17.0
760,P,3036.0,OH,IIB,445.0,362.0,300.0,349.0,580.0,440.0,405.0,449.0,15.0,32.0,34.0,2.0
761,P,3037.0,OH,IIB,561.0,411.0,346.0,449.0,735.0,518.0,429.0,575.0,52.0,24.0,44.0,2.0
762,P,3038.0,OH,IIB,476.0,394.0,325.0,399.0,609.0,508.0,412.0,509.0,25.0,21.0,17.0,7.0
763,P,3041.0,OH,IIB,373.0,333.0,277.0,326.0,438.0,388.0,330.0,382.0,14.0,18.0,11.0,0.0
764,P,3042.0,OH,IIB,558.0,414.0,346.0,445.0,757.0,528.0,439.0,584.0,58.0,32.0,55.0,0.0
765,P,3045.0,OH,IIB,417.0,370.0,301.0,330.0,526.0,470.0,369.0,413.0,18.0,29.0,51.0,7.0
766,P,3046.0,OH,IIB,,,,345.0,,,,438.0,0.0,0.0,0.0,0.0
767,P,3048.0,OH,IIB,399.0,334.0,298.0,331.0,491.0,407.0,349.0,397.0,17.0,18.0,24.0,8.0
768,P,3049.0,OH,IIB,468.0,367.0,302.0,373.0,602.0,469.0,379.0,474.0,28.0,22.0,20.0,11.0
769,P,3050.0,OH,IIA,587.0,473.0,389.0,465.0,717.0,586.0,490.0,576.0,59.0,56.0,74.0,14.0
770,N,3051.0,OH,I,654.0,473.0,389.0,502.0,810.0,602.0,505.0,636.0,221.0,244.0,203.0,14.0
771,P,3065.0,OH,IIB,608.0,439.0,381.0,480.0,777.0,552.0,475.0,608.0,49.0,36.0,38.0,8.0
772,P,3069.0,OH,IIB,,330.0,283.0,280.0,,413.0,371.0,361.0,2.0,8.0,15.0,22.0
773,P,3072.0,OH,IIB,410.0,352.0,306.0,343.0,515.0,441.0,383.0,432.0,20.0,18.0,26.0,4.0
774,P,3073.0,OH,IIB,445.0,366.0,298.0,370.0,569.0,464.0,367.0,470.0,27.0,18.0,19.0,5.0
775,P,3084.0,OH,IIB,446.0,365.0,290.0,353.0,574.0,461.0,378.0,453.0,19.0,19.0,28.0,3.0
776,P,3085.0,OH,IIB,,294.0,269.0,290.0,,346.0,318.0,340.0,5.0,9.0,15.0,0.0
777,P,3086.0,OH,IIB,588.0,454.0,385.0,507.0,789.0,605.0,491.0,673.0,121.0,69.0,43.0,6.0
778,P,3089.0,OH,IIB,511.0,431.0,371.0,437.0,639.0,546.0,465.0,550.0,55.0,53.0,39.0,8.0
779,P,3092.0,OH,IIB,,460.0,335.0,384.0,,567.0,424.0,480.0,3.0,14.0,19.0,3.0
780,P,3093.0,OH,IIB,,396.0,350.0,375.0,,494.0,441.0,470.0,2.0,19.0,18.0,2.0
781,P,3094.0,OH,IIB,508.0,424.0,337.0,410.0,622.0,526.0,426.0,510.0,6.0,10.0,9.0,1.0
782,P,3095.0,OH,IIB,,417.0,353.0,392.0,,518.0,445.0,489.0,4.0,13.0,17.0,2.0
783,N,3100.0,OH,I,632.0,486.0,393.0,512.0,786.0,618.0,512.0,648.0,248.0,241.0,192.0,4.0
784,P,3109.0,OH,IIB,541.0,395.0,354.0,453.0,726.0,584.0,500.0,626.0,67.0,25.0,42.0,2.0
785,P,3110.0,OH,IIB,459.0,372.0,329.0,363.0,600.0,467.0,399.0,457.0,22.0,42.0,56.0,10.0
786,P,3121.0,OH,IIB,485.0,379.0,334.0,379.0,593.0,470.0,410.0,466.0,6.0,7.0,14.0,0.0
787,N,3123.0,OH,I,577.0,448.0,387.0,479.0,718.0,567.0,497.0,603.0,278.0,253.0,147.0,39.0
788,N,3125.0,OH,I,666.0,483.0,393.0,535.0,856.0,622.0,506.0,688.0,447.0,410.0,244.0,12.0
789,N,3127.0,OH,IIA,590.0,479.0,392.0,482.0,765.0,616.0,495.0,618.0,123.0,159.0,130.0,7.0
790,N,3131.0,OH,I,608.0,457.0,379.0,486.0,750.0,572.0,481.0,607.0,217.0,152.0,167.0,20.0
791,P,3133.0,OH,IIB,335.0,266.0,241.0,272.0,425.0,314.0,297.0,333.0,9.0,12.0,14.0,1.0
792,P,3134.0,OH,IIB,413.0,350.0,297.0,306.0,476.0,410.0,361.0,363.0,8.0,10.0,20.0,24.0
793,P,3135.0,OH,IIB,407.0,344.0,278.0,346.0,504.0,427.0,352.0,432.0,17.0,19.0,10.0,0.0
794,P,3142.0,OH,IIB,407.0,357.0,303.0,335.0,481.0,430.0,364.0,401.0,10.0,18.0,32.0,1.0
795,P,3143.0,OH,IIB,546.0,413.0,341.0,438.0,704.0,543.0,436.0,567.0,49.0,55.0,32.0,6.0
796,P,3144.0,OH,IIA,571.0,473.0,378.0,449.0,712.0,586.0,467.0,557.0,58.0,75.0,78.0,19.0
797,N,3145.0,OH,IIA,591.0,450.0,362.0,481.0,723.0,562.0,461.0,597.0,204.0,116.0,106.0,33.0
798,N,6883.0,OH,I,703.0,491.0,415.0,555.0,846.0,603.0,516.0,676.0,758.0,679.0,443.0,30.0
799,N,7104.0,OH,I,616.0,474.0,376.0,478.0,797.0,614.0,487.0,619.0,258.0,225.0,219.0,60.0
800,P,8795.0,OH,IIA,441.0,348.0,300.0,316.0,571.0,457.0,398.0,418.0,30.0,15.0,17.0,3.0
801,N,9168.0,OH,IIA,642.0,468.0,385.0,465.0,781.0,580.0,485.0,576.0,126.0,176.0,132.0,45.0
802,P,12748.0,OH,IIB,510.0,439.0,368.0,411.0,658.0,563.0,502.0,537.0,15.0,54.0,35.0,15.0
803,P,3150.0,OK,IIB,426.0,360.0,329.0,345.0,531.0,452.0,415.0,434.0,44.0,35.0,63.0,34.0
804,P,3151.0,OK,IIB,,,,264.0,,,,358.0,0.0,0.0,0.0,0.0
805,N,3152.0,OK,IIA,503.0,442.0,384.0,416.0,606.0,536.0,469.0,505.0,108.0,57.0,166.0,58.0
806,P,3154.0,OK,IIB,453.0,407.0,352.0,378.0,538.0,488.0,429.0,456.0,39.0,31.0,64.0,23.0
807,P,3157.0,OK,IIB,459.0,375.0,313.0,342.0,545.0,454.0,383.0,415.0,12.0,31.0,34.0,29.0
808,P,3161.0,OK,IIB,455.0,374.0,348.0,377.0,554.0,462.0,431.0,464.0,80.0,49.0,71.0,52.0
809,P,3163.0,OK,IIB,435.0,397.0,321.0,336.0,522.0,479.0,390.0,407.0,12.0,11.0,30.0,24.0
810,P,3164.0,OK,IIB,379.0,335.0,282.0,317.0,467.0,420.0,359.0,399.0,22.0,33.0,42.0,5.0
811,P,3165.0,OK,IIB,432.0,372.0,317.0,385.0,527.0,454.0,371.0,466.0,39.0,18.0,15.0,5.0
812,P,3167.0,OK,IIB,427.0,369.0,336.0,362.0,528.0,459.0,434.0,454.0,13.0,18.0,11.0,10.0
813,N,3170.0,OK,I,532.0,409.0,373.0,449.0,655.0,509.0,460.0,555.0,342.0,247.0,181.0,11.0
814,P,3174.0,OK,IIB,427.0,360.0,311.0,346.0,515.0,444.0,386.0,425.0,15.0,14.0,14.0,11.0
815,P,3175.0,OK,IIB,365.0,315.0,273.0,317.0,438.0,381.0,327.0,381.0,16.0,10.0,15.0,1.0
816,P,3179.0,OK,IIA,464.0,407.0,348.0,363.0,558.0,493.0,425.0,440.0,33.0,17.0,61.0,37.0
817,P,3181.0,OK,IIA,464.0,429.0,382.0,393.0,567.0,528.0,474.0,485.0,56.0,33.0,65.0,44.0
818,N,3184.0,OK,I,600.0,445.0,368.0,470.0,752.0,563.0,468.0,593.0,286.0,225.0,236.0,24.0
819,N,3185.0,OK,IIA,686.0,500.0,404.0,513.0,835.0,608.0,493.0,625.0,84.0,108.0,73.0,20.0
820,P,1339.0,OR,IIB,,308.0,252.0,285.0,,451.0,340.0,388.0,3.0,7.0,7.0,5.0
821,P,3191.0,OR,IIB,401.0,329.0,307.0,349.0,496.0,414.0,389.0,436.0,13.0,15.0,7.0,1.0
822,P,3193.0,OR,IIB,470.0,363.0,309.0,373.0,612.0,482.0,412.0,492.0,20.0,23.0,17.0,5.0
823,P,3194.0,OR,IIB,418.0,373.0,302.0,355.0,531.0,468.0,371.0,444.0,20.0,27.0,27.0,3.0
824,P,3197.0,OR,IIA,601.0,442.0,362.0,477.0,749.0,570.0,440.0,598.0,74.0,36.0,47.0,6.0
825,P,3198.0,OR,IIB,481.0,377.0,319.0,397.0,650.0,522.0,448.0,546.0,47.0,47.0,31.0,4.0
826,P,3208.0,OR,IIB,,,,292.0,,,,409.0,4.0,5.0,2.0,0.0
827,P,3209.0,OR,IIA,439.0,354.0,315.0,361.0,575.0,470.0,417.0,472.0,60.0,40.0,33.0,2.0
828,N,3210.0,OR,I,597.0,473.0,400.0,475.0,762.0,615.0,522.0,615.0,206.0,209.0,133.0,46.0
829,P,3211.0,OR,IIB,500.0,441.0,391.0,438.0,648.0,574.0,512.0,572.0,38.0,32.0,32.0,7.0
830,P,3212.0,OR,IIA,441.0,381.0,341.0,370.0,561.0,469.0,421.0,461.0,28.0,32.0,41.0,7.0
831,N,3216.0,OR,I,544.0,437.0,382.0,474.0,693.0,564.0,498.0,609.0,205.0,113.0,77.0,16.0
832,P,3217.0,OR,IIB,596.0,442.0,378.0,495.0,729.0,545.0,463.0,607.0,47.0,20.0,31.0,0.0
833,P,3219.0,OR,IIA,460.0,371.0,315.0,393.0,598.0,491.0,417.0,517.0,72.0,49.0,25.0,12.0
834,N,3223.0,OR,I,597.0,446.0,375.0,459.0,762.0,579.0,488.0,594.0,240.0,182.0,152.0,89.0
835,P,3224.0,OR,IIA,587.0,437.0,387.0,436.0,716.0,542.0,470.0,536.0,26.0,57.0,42.0,2.0
836,P,3225.0,OR,IIB,,279.0,216.0,269.0,,340.0,262.0,328.0,4.0,14.0,8.0,0.0
837,P,3227.0,OR,IIB,596.0,390.0,345.0,478.0,758.0,524.0,466.0,621.0,69.0,43.0,28.0,4.0
838,P,3229.0,PA,IIB,488.0,396.0,359.0,430.0,648.0,514.0,451.0,562.0,39.0,21.0,15.0,3.0
839,P,3230.0,PA,IIB,576.0,414.0,332.0,415.0,744.0,537.0,418.0,532.0,36.0,46.0,54.0,8.0
840,P,3233.0,PA,IIB,402.0,315.0,295.0,303.0,506.0,370.0,347.0,361.0,7.0,12.0,30.0,11.0
841,P,3235.0,PA,IIA,496.0,405.0,353.0,381.0,652.0,532.0,462.0,500.0,12.0,20.0,32.0,2.0
842,P,3237.0,PA,IIA,620.0,466.0,379.0,511.0,767.0,605.0,478.0,639.0,65.0,23.0,20.0,3.0
843,P,3238.0,PA,IIA,658.0,497.0,415.0,528.0,840.0,637.0,542.0,678.0,84.0,85.0,73.0,1.0
844,P,3241.0,PA,IIB,471.0,,354.0,398.0,597.0,,448.0,503.0,15.0,5.0,18.0,3.0
845,N,3242.0,PA,I,829.0,566.0,499.0,678.0,994.0,691.0,617.0,820.0,256.0,138.0,125.0,4.0
846,P,3243.0,PA,IIB,475.0,392.0,318.0,375.0,591.0,495.0,392.0,468.0,14.0,17.0,29.0,0.0
847,P,3244.0,PA,IIB,492.0,397.0,323.0,394.0,628.0,503.0,407.0,500.0,13.0,12.0,16.0,2.0
848,P,3245.0,PA,IIB,,322.0,277.0,311.0,,400.0,348.0,391.0,5.0,10.0,18.0,4.0
849,P,3247.0,PA,IIB,493.0,425.0,346.0,377.0,578.0,508.0,420.0,455.0,9.0,22.0,48.0,5.0
850,P,3252.0,PA,IIB,504.0,411.0,347.0,379.0,649.0,511.0,426.0,473.0,10.0,27.0,21.0,15.0
851,P,3253.0,PA,IIB,622.0,468.0,380.0,466.0,797.0,601.0,478.0,593.0,35.0,47.0,51.0,7.0
852,N,3256.0,PA,I,674.0,496.0,459.0,568.0,843.0,619.0,570.0,709.0,153.0,114.0,73.0,0.0
853,N,3258.0,PA,IIA,602.0,469.0,393.0,475.0,753.0,597.0,497.0,601.0,98.0,97.0,113.0,28.0
854,P,3259.0,PA,IIA,442.0,342.0,329.0,363.0,636.0,413.0,398.0,473.0,19.0,17.0,17.0,4.0
855,P,3262.0,PA,IIB,552.0,456.0,371.0,448.0,718.0,581.0,465.0,571.0,30.0,39.0,26.0,6.0
856,P,3265.0,PA,IIB,675.0,481.0,387.0,517.0,902.0,653.0,519.0,694.0,56.0,43.0,44.0,9.0
857,P,3266.0,PA,IIA,453.0,377.0,341.0,365.0,586.0,489.0,434.0,469.0,35.0,54.0,76.0,17.0
858,P,3267.0,PA,IIB,416.0,366.0,312.0,366.0,527.0,475.0,402.0,469.0,17.0,17.0,16.0,0.0
859,P,3268.0,PA,IIB,627.0,475.0,400.0,485.0,820.0,630.0,516.0,637.0,38.0,65.0,28.0,20.0
860,P,3270.0,PA,IIB,356.0,316.0,269.0,280.0,428.0,383.0,330.0,341.0,13.0,18.0,51.0,16.0
861,P,3274.0,PA,IIB,653.0,498.0,392.0,521.0,876.0,702.0,551.0,716.0,40.0,19.0,33.0,3.0
862,P,3275.0,PA,IIB,480.0,395.0,335.0,364.0,599.0,504.0,432.0,465.0,12.0,14.0,33.0,16.0
863,P,3276.0,PA,IIB,451.0,406.0,310.0,385.0,572.0,521.0,399.0,492.0,10.0,8.0,8.0,2.0
864,N,3277.0,PA,IIA,675.0,541.0,425.0,546.0,859.0,708.0,571.0,711.0,243.0,201.0,173.0,41.0
865,P,3278.0,PA,IIA,,505.0,428.0,441.0,,678.0,558.0,578.0,5.0,9.0,24.0,18.0
866,P,3279.0,PA,IIB,488.0,391.0,316.0,419.0,634.0,497.0,427.0,545.0,36.0,20.0,16.0,2.0
867,P,3282.0,PA,IIB,498.0,427.0,354.0,409.0,641.0,548.0,444.0,520.0,22.0,28.0,45.0,0.0
868,P,3284.0,PA,IIB,686.0,517.0,419.0,506.0,873.0,668.0,536.0,647.0,37.0,62.0,71.0,8.0
869,P,3287.0,PA,IIA,585.0,482.0,426.0,470.0,733.0,616.0,543.0,597.0,30.0,80.0,95.0,4.0
870,P,3288.0,PA,IIB,472.0,401.0,362.0,419.0,593.0,512.0,466.0,531.0,28.0,21.0,17.0,1.0
