,binaryClass_cat,RollRate_num,PitchRate_num,currPitch_num,currRoll_num,diffRollRate_num
5560,P,0.0041,-0.0005,0.004,-0.01,0.00015
5561,N,-0.0021,0.0025,0.009,-0.01,-1e-05
5562,P,0.003,-0.0006,0.011,-0.008,7e-05
5563,N,-0.0022,0.0005,0.009,-0.011,5e-05
5564,P,0.0068,0.0033,0.008,0.002,7e-05
5565,P,0.0051,0.0027,0.013,0.013,-0.00014
5566,P,0.0007,0.0012,0.029,-0.005,0.00027
5567,P,0.007,-0.0012,0.019,0.012,8e-05
5568,P,0.0007,-0.0014,0.011,0.035,-0.00018
5569,N,-0.008,0.0017,0.007,0.019,-0.00017
5570,N,0.0005,-0.0001,0.02,-0.01,0.0002
5571,P,0.0049,-0.0018,0.017,-0.007,0.0003
5572,N,-0.0076,0.0044,0.017,-0.004,-0.00022
5573,P,0.0066,0.0032,0.018,-0.024,0.00026
5574,P,0.005,-0.0018,0.027,0.014,-0.00011
5575,N,-0.0072,-0.0024,0.006,0.008,-0.00019
5576,N,-0.0079,0.0007,0.003,-0.012,0.0001
5577,N,0.0043,0.0044,0.017,-0.025,0.00014
5578,P,0.0064,0.0019,0.016,-0.017,0.00011
5579,P,0.0075,0.0024,0.017,-0.007,6e-05
5580,N,-0.0039,0.0024,0.02,0.002,-0.00035
5581,N,-0.0091,0.0013,0.019,-0.017,-0.0001
5582,N,-0.0086,0.0006,0.017,-0.033,8e-05
5583,N,-0.0057,0.0004,0.014,-0.045,0.00022
5584,P,0.0049,0.0003,0.008,-0.048,0.00032
5585,N,-0.0031,0.0005,0.018,-0.014,0.0
5586,P,0.0058,0.0002,0.013,-0.01,0.00022
5587,P,0.0054,0.0007,0.01,0.011,-8e-05
5588,N,-0.0078,0.0006,0.01,0.007,-0.00025
5589,P,0.0044,-0.0003,0.002,-0.009,0.00034
5590,P,0.0086,0.0037,0.004,0.001,0.00026
5591,P,0.0069,0.0048,0.01,0.014,-0.00029
5592,N,-0.013,0.0017,0.017,-0.001,-0.00036
5593,N,-0.0099,0.0015,0.017,-0.028,0.00044
5594,P,0.0037,0.0,0.013,-0.035,0.00069
5595,P,0.0124,0.0012,0.015,-0.007,0.00011
5596,N,-0.0036,0.0016,0.016,0.042,-0.00031
5597,N,-0.0058,0.0063,0.012,0.014,-0.00013
5598,P,0.0105,-0.0003,0.011,0.017,0.00023
5599,P,0.0026,0.0015,0.012,0.045,-0.00031
5600,N,-0.0069,0.0,0.011,0.041,-0.00044
5601,P,0.0007,0.0023,0.018,0.01,-1e-05
5602,N,-0.0066,0.0002,0.016,0.001,-0.00025
5603,P,0.0083,-0.0011,0.01,-0.007,0.00033
5604,P,0.0059,-0.0005,0.005,0.014,-0.00036
5605,N,-0.0092,0.0013,0.005,0.011,-0.00071
5606,N,-0.01,0.0029,0.008,-0.03,0.00029
5607,P,0.004,0.0012,0.008,-0.041,0.00041
5608,N,-0.0036,0.0007,0.008,-0.002,-0.00022
5609,P,0.0055,0.0019,0.008,-0.007,0.00027
5610,P,0.0037,0.0026,0.013,0.014,-0.00013
5611,N,-0.0083,0.0022,0.017,0.006,-0.00032
5612,N,-0.0041,-0.0004,0.011,-0.028,0.00026
5613,P,0.0075,-0.0007,0.003,-0.023,0.00033
5614,N,-0.0096,0.0027,0.009,-0.014,-0.00025
5615,N,-0.0065,0.0034,0.013,-0.031,0.00035
5616,P,0.0105,0.0011,0.016,-0.023,0.00038
5617,P,0.0118,0.0004,0.018,0.013,-5e-05
5618,P,0.0073,0.0006,0.017,0.029,-0.00039
5619,N,-0.0089,-0.0019,0.009,0.024,-0.0004
5620,P,0.0048,0.0043,0.015,-0.004,8e-05
5621,P,0.0037,0.0007,0.019,0.011,-5e-05
5622,N,-0.0046,0.0007,0.02,0.01,-0.0002
5623,N,-0.0065,-0.0033,0.014,0.002,-0.0001
5624,P,0.0038,-0.0041,0.0,-0.003,0.00043
5625,P,0.0081,0.0011,-0.002,0.01,9e-05
5626,N,-0.0047,0.0027,0.005,0.024,-0.00021
5627,P,0.006,0.0022,0.012,-0.023,0.00026
5628,P,0.0028,-0.0014,0.0,-0.004,9e-05
5629,P,0.0006,0.0046,0.011,0.01,-7e-05
5630,N,-0.0039,0.0023,0.017,0.005,-7e-05
5631,P,0.0041,-0.0009,0.009,0.005,0.00021
5632,P,0.0068,0.0004,0.009,0.014,0.00014
5633,P,0.0035,0.0024,0.014,0.033,-0.00014
5634,N,-0.0058,-0.0005,0.014,0.022,-8e-05
5635,P,0.0022,0.0007,0.002,0.009,0.00014
5636,N,-0.0024,0.0035,0.013,-0.01,2e-05
5637,P,0.0063,0.0003,0.014,-0.002,0.00015
5638,N,-0.0028,0.0017,0.009,-0.012,5e-05
5639,P,0.0052,0.0021,0.01,-0.006,0.0001
5640,P,0.0042,-0.0004,0.005,0.013,2e-05
5641,N,-0.0064,0.0019,0.005,-0.004,-2e-05
5642,P,0.0075,0.0014,0.018,0.001,7e-05
5643,P,0.0048,-0.0003,0.015,0.019,-0.00013
5644,N,-0.0058,0.0001,0.011,0.017,-0.00021
5645,N,-0.0075,-0.0007,0.008,0.008,-8e-05
5646,P,0.0043,0.0026,0.005,-0.007,0.00011
5647,P,0.0029,0.0005,0.011,0.009,8e-05
5648,N,-0.0131,0.0019,0.014,-0.003,-0.00051
5649,P,0.0093,0.0005,0.006,-0.024,0.00021
5650,P,0.0106,0.0016,0.006,-0.004,0.0
5651,N,-0.0103,0.0015,0.012,0.012,-0.00033
5652,N,-0.0075,0.0005,0.01,-0.014,0.00022
5653,P,0.0041,0.0017,0.007,-0.023,0.00017
5654,P,0.0071,0.0013,0.013,-0.008,0.00021
5655,P,0.0055,0.0003,0.014,0.01,-0.00019
5656,N,-0.0048,0.0018,0.015,0.013,-0.00063
5657,N,-0.0123,-0.0002,0.012,0.001,-0.00048
5658,P,0.0049,0.0025,-0.006,-0.044,0.00034
5659,P,0.0076,0.0056,0.0,-0.035,0.00015
5660,P,0.0069,-0.0015,0.017,-0.006,0.00032
5661,P,0.0093,-0.0042,0.015,0.011,7e-05
5662,P,0.0066,-0.0013,0.011,0.025,-0.00029
5663,N,-0.0112,0.0018,0.006,0.013,-0.00032
5664,N,-0.0092,0.0005,0.005,-0.01,0.00032
5665,P,0.0123,0.0021,0.005,-0.002,0.00032
5666,N,-0.0035,0.0025,0.015,0.029,-0.00029
5667,N,-0.0057,-0.0013,0.01,0.006,-0.0003
5668,N,-0.0042,0.0032,0.012,-0.011,-3e-05
5669,P,0.0077,0.0032,0.009,-0.006,0.00019
5670,P,0.0037,0.0022,0.012,0.012,-0.00027
5671,N,-0.0137,0.0013,0.014,-0.007,-0.00039
5672,P,0.0051,0.0007,0.01,-0.039,0.00075
5673,P,0.0151,0.0001,0.007,-0.015,0.00031
5674,P,0.0149,0.0016,0.008,0.021,-0.00046
5675,N,-0.0208,0.0034,0.013,0.019,-0.0015
5676,P,0.0116,-0.0005,0.001,-0.039,0.00064
5677,P,0.0143,0.0006,0.0,-0.02,8e-05
5678,N,-0.0079,0.0042,0.01,-0.006,-0.00018
5679,N,0.0037,-0.0007,0.007,-0.012,-1e-05
5680,P,0.005,-0.0003,0.005,-0.006,0.00013
5681,N,-0.0063,0.0035,0.015,-0.007,-0.00017
5682,N,-0.0074,0.0014,0.015,-0.017,-3e-05
5683,P,0.0037,-0.0008,0.012,-0.031,0.00038
5684,P,0.0053,-0.0001,0.003,-0.004,0.00012
5685,P,0.0002,0.0003,0.003,0.009,-8e-05
5686,N,-0.0037,0.0034,0.007,0.006,-0.00023
5687,P,0.0038,-0.0001,0.008,0.011,3e-05
5688,P,-0.0045,0.0027,0.006,0.011,-0.00016
5689,N,-0.0075,0.003,0.009,0.002,-0.00012
5690,P,0.0057,-0.0003,0.014,-0.007,7e-05
5691,P,0.0045,-0.0007,0.007,0.011,-9e-05
5692,N,-0.0064,0.0007,0.005,0.008,-0.00025
5693,P,0.0028,0.0002,0.008,-0.005,2e-05
5694,N,-0.0033,0.0017,0.009,-0.005,-0.00025
5695,N,-0.0045,0.0019,0.01,-0.012,6e-05
5696,P,0.0039,-0.0001,0.01,-0.016,0.00011
5697,N,-0.0051,0.002,0.011,-0.011,-0.00029
5698,P,0.0036,0.0005,0.009,-0.019,0.00037
5699,P,0.0075,0.001,0.008,-0.005,0.0001
5700,P,0.0035,0.0014,0.008,0.013,-0.00019
5701,N,-0.0037,0.0017,0.01,0.013,-0.0003
5702,N,-0.0054,0.0006,0.006,-0.015,-4e-05
5703,P,0.0035,0.0027,0.007,-0.024,0.00017
5704,P,0.0042,0.0007,0.016,-0.006,0.00013
5705,P,-0.0044,-0.003,0.005,-0.007,-8e-05
5706,N,-0.0024,0.0012,0.0,-0.029,0.00011
5707,P,0.005,0.0023,0.004,-0.021,0.0001
5708,P,0.01,-0.0036,0.024,-0.024,0.00013
5709,N,-0.002,0.0014,0.012,-0.01,-1e-05
5710,P,0.0036,-0.001,0.016,-0.006,0.0001
5711,N,-0.0042,-0.0008,0.011,-0.012,-4e-05
5712,N,-0.0029,0.0016,0.014,-0.021,9e-05
5713,P,0.005,0.001,0.016,0.011,-3e-05
5714,N,-0.0071,-0.0012,0.014,0.006,-0.00015
5715,N,-0.0047,-0.0004,0.011,-0.012,0.00017
5716,P,0.0065,-0.0013,0.006,-0.006,0.00018
5717,P,0.0061,0.0014,0.008,0.019,-5e-05
5718,P,0.0039,0.001,0.009,0.027,-0.00018
5719,N,-0.0054,-0.0013,0.013,0.022,-0.00014
5720,P,0.0038,0.0004,0.015,0.009,4e-05
5721,N,-0.0053,-0.0006,0.01,0.006,-6e-05
5722,N,-0.003,0.0006,0.011,-0.011,0.0001
5723,P,0.0069,0.0014,0.008,-0.002,0.00017
5724,P,0.0081,0.0016,0.011,0.016,0.0
5725,P,0.0068,0.0019,0.013,0.027,-0.00014
5726,N,-0.0066,0.0004,0.016,0.028,-0.00019
5727,P,0.0036,-0.0009,0.005,-0.011,0.0002
5728,P,0.006,-0.0014,0.01,0.013,0.0
5729,P,-0.0043,0.0003,0.013,0.015,-8e-05
5730,N,-0.0062,-0.0005,0.012,0.003,-7e-05
5731,P,0.0062,0.001,0.012,-0.006,0.00018
5732,P,0.0012,-0.0003,0.006,0.045,-0.00013
5733,N,-0.0047,0.0,0.006,0.039,-0.00017
5734,N,-0.0046,-0.0004,0.014,0.004,-5e-05
5735,P,0.0042,-0.0013,0.009,0.0,0.0002
5736,P,0.0055,-0.0008,0.006,0.013,0.0
5737,N,-0.005,-0.0002,0.004,0.003,-5e-05
5738,N,-0.0009,0.0016,0.008,-0.01,0.00013
5739,P,0.0043,0.0025,0.013,-0.005,0.00018
5740,P,0.002,-0.0007,0.013,0.009,-0.0001
5741,N,-0.0044,0.0007,0.013,0.007,-0.00028
5742,P,0.0058,-0.0007,0.014,-0.008,0.00024
5743,P,0.0054,0.0001,0.013,0.012,-0.00014
5744,N,-0.0033,-0.004,0.003,0.017,-0.00027
5745,P,-0.0064,-0.0032,-0.001,0.01,-0.00019
5746,P,0.0045,0.0007,0.002,-0.034,0.00039
5747,P,0.0097,0.0012,0.004,-0.016,0.00015
5748,P,0.01,0.0051,0.013,0.011,-8e-05
5749,P,0.0058,0.0026,0.02,0.028,-0.00021
5750,N,-0.0067,-0.0017,0.017,0.024,-0.0002
5751,P,0.005,0.0023,0.002,-0.008,0.00021
5752,P,0.0067,-0.0007,0.007,0.008,-1e-05
5753,N,-0.0043,0.0002,0.007,0.018,-0.00027
5754,N,-0.007,0.0009,0.008,0.003,-5e-05
5755,N,-0.0035,0.0004,0.008,-0.014,0.00015
5756,P,0.0058,0.0003,0.008,-0.006,0.00012
5757,N,-0.006,-0.0009,0.009,0.005,-0.0002
5758,P,0.0046,0.0014,0.009,-0.025,0.00022
5759,P,0.0011,-0.0005,0.012,0.009,2e-05
5760,N,-0.0079,0.0001,0.011,0.004,-0.00051
5761,N,0.0044,-0.0038,0.012,-0.019,3e-05
5762,P,0.0083,-0.0017,0.006,-0.001,0.00012
5763,P,0.0069,0.0009,0.005,0.027,-0.00012
5764,N,0.0015,0.0018,0.009,0.038,-0.00022
5765,N,-0.0052,0.0008,0.011,0.003,-1e-05
5766,N,-0.0033,-0.0007,0.005,-0.006,-0.00013
5767,P,0.0061,-0.0005,0.011,-0.009,0.0001
5768,P,0.0046,-0.0005,0.005,0.01,4e-05
5769,N,-0.0063,0.0,0.009,0.0,-4e-05
5770,N,-0.0047,0.0007,0.01,-0.012,0.00012
5771,P,0.0072,0.0004,0.01,-0.003,0.00013
5772,P,0.0062,0.0016,0.012,0.01,-0.00015
5773,N,-0.0073,-0.0007,0.01,0.007,-0.0002
5774,P,0.0044,-0.0017,0.005,-0.011,0.00024
5775,P,0.0069,0.0009,0.005,-0.003,0.00013
5776,N,0.0069,0.0029,0.01,0.013,-4e-05
5777,P,0.0047,-0.0002,0.009,0.029,-0.00015
5778,N,-0.0057,0.0002,0.009,0.028,-0.00024
5779,P,0.004,0.0002,0.01,-0.008,0.0002
5780,N,-0.0023,0.0002,0.007,-0.011,-2e-05
5781,P,0.0054,0.0004,0.009,-0.006,0.00015
5782,P,0.0015,0.0021,0.015,0.011,-0.00018
5783,N,-0.0039,-0.0015,0.014,0.008,-0.00022
5784,P,0.005,0.0006,0.003,0.015,2e-05
5785,P,0.0006,0.0009,0.006,0.027,-0.00012
5786,N,-0.0047,0.0031,0.012,0.023,-0.00025
5787,P,0.0038,0.0013,0.006,0.013,9e-05
5788,N,-0.0049,0.0001,0.012,0.007,-7e-05
5789,P,0.0008,0.0009,0.011,0.01,-2e-05
5790,N,-0.0006,-0.0011,0.011,-0.009,6e-05
5791,P,0.0037,-0.0013,0.006,-0.005,0.00014
5792,N,-0.0067,-0.0005,0.006,-0.011,-0.00014
5793,P,0.0053,0.0011,0.011,-0.023,6e-05
5794,N,-0.0059,-0.0001,0.013,-0.009,-0.00028
5795,N,-0.0048,0.0011,0.014,-0.031,0.00014
5796,P,0.0056,0.0008,0.012,-0.003,7e-05
5797,P,0.0034,-0.0008,0.01,0.01,-0.00011
5798,N,-0.0041,-0.0002,0.008,0.01,-0.00029
5799,P,0.0061,0.0005,0.009,0.012,0.00011
5800,P,0.0057,0.0009,0.01,0.024,-0.0001
5801,N,-0.0006,0.0008,0.011,0.032,-0.00045
5802,N,-0.0054,-0.0014,0.009,0.026,-0.00016
5803,N,-0.0067,0.0007,0.008,0.006,-0.00021
5804,N,-0.0041,0.0007,0.009,-0.011,0.00021
5805,P,0.0065,0.0004,0.009,-0.006,0.00023
5806,N,-0.0102,-0.0008,0.012,0.001,-0.00033
5807,P,0.0062,-0.0007,0.006,-0.023,0.00033
5808,N,-0.0038,0.0014,0.002,-0.012,-2e-05
5809,P,0.0062,0.0009,0.016,-0.003,7e-05
5810,P,0.0046,-0.0017,0.011,0.014,-8e-05
5811,N,-0.0071,-0.0013,0.002,0.004,-0.00013
5812,N,-0.0079,0.0025,0.006,-0.01,-1e-05
5813,N,-0.0054,0.0023,0.01,-0.028,0.00013
5814,P,0.0047,0.0009,0.013,-0.031,0.00032
5815,P,0.0066,-0.0021,0.014,-0.015,0.0
5816,N,0.0033,0.0005,0.014,-0.005,-0.00022
5817,N,-0.0037,-0.0016,0.009,-0.011,0.0
5818,N,-0.0078,-0.001,0.008,0.002,-0.00029
5819,N,0.0062,0.001,0.009,-0.013,0.0001
5820,P,0.0079,0.0008,0.01,-0.003,0.00012
5821,P,0.0031,-0.0014,0.012,0.011,-0.00032
5822,N,-0.0068,0.0005,0.012,0.009,-0.00061
5823,N,-0.0099,-0.0024,0.008,-0.014,0.00028
5824,P,0.0065,-0.0002,-0.002,-0.022,0.0003
5825,P,0.0089,0.0019,0.001,-0.006,1e-05
5826,P,0.0067,0.0024,0.006,0.013,-0.00012
5827,N,-0.0097,0.0,0.013,0.006,-0.0003
5828,P,0.007,0.0001,0.006,-0.004,7e-05
5829,N,-0.0038,0.0077,0.014,-0.043,5e-05
5830,N,0.0005,0.0044,0.027,-0.05,0.00012
5831,P,0.0066,-0.0015,0.023,-0.04,0.00019
5832,N,-0.0054,-0.0004,0.015,-0.028,3e-05
5833,P,0.0096,0.001,0.016,-0.013,0.00012
5834,N,-0.0062,0.0005,0.017,0.021,-0.00017
5835,P,0.0049,0.0017,0.009,0.012,8e-05
5836,P,0.0038,-0.0012,0.017,0.03,-5e-05
5837,N,-0.0061,-0.0007,0.009,0.017,-6e-05
5838,N,-0.0001,0.0016,0.011,-0.01,0.00013
5839,P,0.0054,-0.0004,0.008,-0.002,0.00015
5840,P,0.0066,0.0038,0.014,0.012,-3e-05
5841,P,0.0049,0.0044,0.021,0.021,-0.00013
5842,N,-0.0075,-0.0031,0.016,0.015,-0.00021
5843,N,-0.0075,-0.0027,0.007,-0.011,0.00015
5844,P,0.0051,-0.0022,0.014,0.01,0.0
5845,N,-0.004,0.0042,0.02,0.005,-3e-05
5846,N,-0.0017,0.0037,0.009,-0.009,5e-05
5847,P,0.0044,-0.0026,0.015,-0.004,0.00011
5848,P,0.0045,0.0018,0.009,0.01,-1e-05
5849,N,-0.0044,-0.0003,0.016,0.006,-6e-05
5850,P,-0.0027,-0.0013,0.009,-0.01,7e-05
5851,N,-0.0035,0.0008,0.007,-0.022,-2e-05
5852,P,0.0053,-0.0021,0.005,-0.022,0.00017
5853,P,0.0049,0.0013,0.01,0.013,-7e-05
5854,N,-0.0057,0.0018,0.015,0.013,-0.00019
5855,N,-0.0073,-0.0011,0.014,0.004,-8e-05
5856,P,0.0049,-0.0006,0.006,-0.02,0.00018
5857,P,0.0047,0.0005,0.014,0.011,-2e-05
5858,N,-0.0067,-0.0015,0.003,-0.002,-6e-05
5859,P,0.0055,-0.0022,0.011,0.011,-9e-05
5860,N,-0.0074,0.0006,0.012,0.002,-9e-05
5861,N,-0.0071,-0.0016,0.009,-0.013,6e-05
5862,P,0.0051,-0.0077,0.017,-0.022,0.00021
5863,P,0.0072,-0.0004,0.003,-0.023,0.00022
5864,P,0.0053,0.0031,0.018,0.031,-0.00015
5865,N,-0.0088,-0.0032,0.007,0.018,-0.00016
5866,P,0.0047,0.0007,0.004,-0.003,0.00017
5867,N,-0.0037,0.0013,0.016,0.006,-5e-05
5868,P,0.0055,0.0008,0.005,-0.001,0.0001
5869,N,-0.0033,0.0016,0.012,0.008,-0.00015
5870,N,-0.0036,0.0001,0.015,0.004,-4e-05
5871,N,-0.0021,0.0005,0.01,-0.016,6e-05
5872,N,-0.0033,-0.0012,0.007,-0.012,-2e-05
5873,P,0.0039,-0.0017,0.006,-0.005,0.00011
5874,N,-0.0018,-0.0017,0.011,-0.01,5e-05
5875,N,-0.0035,0.0009,0.012,-0.007,-5e-05
5876,N,-0.006,0.0011,0.012,0.002,-0.00011
5877,P,0.0062,-0.0006,0.006,-0.018,0.00019
5878,P,0.0093,-0.0007,0.007,0.023,-3e-05
5879,P,0.007,-0.0003,0.007,0.035,-0.00019
5880,N,-0.007,-0.0002,0.012,0.034,-0.00025
5881,P,0.0032,-0.0014,0.007,0.011,3e-05
5882,N,-0.0063,0.0003,0.007,0.004,-0.00016
5883,P,0.0038,-0.0007,0.009,-0.025,0.00025
5884,N,-0.002,0.0,0.008,-0.011,1e-05
5885,N,0.0032,0.002,0.009,-0.004,3e-05
5886,P,0.0036,-0.0002,0.008,0.011,-2e-05
5887,N,-0.0039,-0.0017,0.009,0.007,-7e-05
5888,N,0.002,0.003,0.012,0.011,-2e-05
5889,N,-0.0062,-0.0015,0.007,0.004,-0.00014
5890,P,0.0046,0.0032,0.005,-0.024,0.00016
5891,P,0.0059,-0.0006,0.015,0.012,-7e-05
5892,N,-0.004,-0.0016,0.01,0.017,-0.00015
5893,N,-0.0001,0.0011,0.006,-0.009,3e-05
5894,P,0.0042,0.003,0.011,-0.004,0.00014
5895,P,0.0048,-0.0002,0.012,0.013,-3e-05
5896,N,-0.0054,0.0002,0.009,0.001,-1e-05
5897,P,0.0045,0.0008,0.007,-0.005,6e-05
5898,N,-0.0055,0.0007,0.018,0.006,-0.00022
5899,P,0.0072,0.0008,0.003,0.011,2e-05
5900,P,0.0043,0.002,0.007,0.029,-0.00013
5901,N,-0.0046,-0.0008,0.013,0.027,-0.00014
5902,N,0.0026,0.002,0.017,0.009,-1e-05
5903,N,-0.0052,-0.0035,0.013,0.006,-0.00014
5904,N,-0.0013,-0.0008,0.005,-0.01,4e-05
5905,P,0.0034,0.002,0.002,-0.007,0.00016
5906,P,0.0009,-0.002,0.012,0.01,-6e-05
5907,N,-0.0051,-0.0004,0.009,0.003,-0.00015
5908,P,0.0042,0.0,0.007,-0.007,8e-05
5909,P,0.002,0.0003,0.007,0.01,-8e-05
5910,N,-0.0038,0.0005,0.008,0.006,-0.00013
5911,N,0.0002,-0.0008,0.006,0.009,-2e-05
5912,P,0.0037,0.0008,0.008,0.023,-3e-05
5913,P,0.0016,0.0024,0.012,0.029,-0.00015
5914,N,-0.0042,-0.0014,0.016,0.025,-0.00018
5915,N,-0.0062,-0.0022,0.007,0.004,-0.00013
5916,P,-0.0047,-0.0017,0.003,-0.01,0.0001
5917,P,0.0056,0.0002,0.007,-0.002,5e-05
5918,P,0.0041,0.0005,0.007,0.01,-9e-05
5919,N,-0.0067,0.0009,0.011,0.005,-0.00021
5920,P,0.0053,0.0032,0.011,0.02,-0.00015
5921,N,-0.0035,-0.0005,0.015,0.023,-0.00018
5922,P,0.0013,0.0004,0.008,0.01,0.0
5923,N,-0.0006,0.0007,0.006,-0.01,0.0
5924,N,-0.0028,-0.0001,0.01,-0.012,-2e-05
5925,N,-0.005,0.0011,0.011,0.008,-0.00018
5926,P,0.0054,-0.0005,0.002,-0.004,6e-05
5927,N,-0.0047,0.0007,0.019,0.005,-3e-05
5928,N,0.0025,0.0026,0.012,0.01,-2e-05
5929,N,-0.0048,-0.0011,0.007,0.005,-6e-05
5930,P,0.0071,0.0025,0.009,0.014,4e-05
5931,N,0.0045,0.0029,0.014,0.025,-0.0002
5932,N,-0.0046,0.0009,0.019,0.025,-0.00014
5933,P,0.0011,-0.0003,0.005,0.01,4e-05
5934,N,-0.0037,0.0011,0.008,0.006,-0.00013
5935,N,-0.0012,-0.0002,0.011,-0.01,1e-05
5936,P,0.003,-0.0005,0.008,-0.007,9e-05
5937,N,-0.0023,0.001,0.005,-0.013,1e-05
5938,P,0.0048,0.0026,0.011,-0.006,9e-05
5939,N,-0.0038,-0.0038,0.014,0.006,-0.00014
5940,P,0.0048,0.0005,0.004,0.015,3e-05
5941,N,-0.004,0.0013,0.013,0.023,-0.00029
5942,N,-0.0046,-0.0007,0.011,0.006,-7e-05
5943,N,-0.0036,-0.001,0.007,0.005,-3e-05
5944,N,-0.0146,0.0038,0.014,0.001,-0.00016
5945,P,0.0069,0.0061,0.017,-0.023,0.00017
5946,P,0.009,0.0038,0.019,-0.003,4e-05
5947,P,0.0072,0.0032,0.019,0.013,-0.00014
5948,P,-0.0036,0.0024,0.014,0.022,-0.00019
5949,N,-0.0089,0.0029,0.013,0.007,-0.00019
5950,N,-0.0049,0.0033,0.013,-0.011,0.00033
5951,P,0.0046,0.002,0.01,-0.012,0.00041
5952,N,-0.0058,0.0006,0.013,0.009,-0.00039
5953,P,0.0039,0.0032,0.008,-0.013,0.00027
5954,P,0.0065,0.0043,0.01,-0.006,0.00015
5955,N,-0.0071,0.0024,0.008,-0.01,-0.00011
5956,P,0.0102,0.0051,0.014,-0.003,0.00015
5957,P,-0.0081,0.0008,0.014,0.007,-0.00017
5958,P,0.0079,0.0045,0.014,-0.006,0.00024
5959,P,0.0067,0.0024,0.017,0.019,-0.0001
5960,P,0.0037,0.0029,0.017,0.028,-0.00019
5961,N,-0.0055,-0.0002,0.017,0.023,-0.00017
5962,P,0.0072,0.0018,0.013,0.029,8e-05
5963,N,0.0051,0.002,0.013,0.042,-0.00016
5964,N,-0.006,0.0023,0.008,0.043,-0.00028
5965,P,0.0041,0.0038,0.013,0.01,-2e-05
5966,N,-0.0055,0.0033,0.016,0.009,-0.0002
5967,P,0.005,0.0018,0.011,0.013,0.00012
5968,N,-0.0055,0.0029,0.023,-0.002,-0.00019
5969,N,0.0,0.0019,0.028,-0.027,0.00017
5970,N,0.0048,0.0014,0.026,-0.022,0.00021
5971,P,0.008,-0.0048,0.018,-0.014,0.00022
5972,P,0.0028,-0.0009,0.008,0.01,-0.00021
5973,N,-0.0062,0.0036,0.011,0.005,-0.00029
5974,P,0.006,0.0028,0.02,-0.009,0.00018
5975,P,0.0051,0.0035,0.027,0.012,-9e-05
5976,N,-0.0067,-0.0007,0.024,0.007,-0.0002
5977,P,0.0057,0.0019,0.012,-0.003,0.00013
5978,N,-0.0061,0.0014,0.019,0.005,-0.00015
5979,P,0.0051,0.0021,0.021,0.0,4e-05
5980,N,-0.0041,0.0011,0.019,0.007,-0.0001
5981,P,0.0048,0.0006,0.01,0.014,3e-05
5982,N,-0.0003,0.0013,0.009,-0.01,0.00011
5983,P,0.0028,0.0041,0.015,-0.008,0.00016
5984,P,0.0045,0.0014,0.024,0.012,0.0
5985,N,-0.0055,0.003,0.012,0.008,-7e-05
5986,N,-0.0005,0.003,0.02,-0.01,0.00012
5987,P,0.0054,-0.0024,0.013,-0.005,0.00028
5988,N,-0.0036,0.0034,0.011,0.007,-0.00017
5989,N,-0.0019,0.0008,0.014,-0.01,7e-05
5990,P,0.0036,0.0009,0.012,-0.008,0.00014
5991,P,0.0039,0.0013,0.012,0.011,-4e-05
5992,N,-0.0052,0.0,0.012,0.007,-0.00015
5993,P,0.0063,0.0027,0.013,0.014,7e-05
5994,P,0.0052,-0.0008,0.016,0.029,-6e-05
5995,N,-0.0072,0.0005,0.013,0.02,-0.00013
5996,N,-0.0054,-0.0004,0.014,0.001,-9e-05
5997,N,-0.0045,-0.0006,0.01,-0.012,7e-05
5998,N,0.0044,0.0014,0.012,-0.003,2e-05
5999,P,0.0056,-0.0003,0.005,0.028,-8e-05
6000,P,0.0046,0.002,0.012,0.005,9e-05
6001,P,0.0045,0.0025,0.014,0.014,-0.00011
6002,P,-0.0064,-0.0006,0.006,0.005,-7e-05
6003,N,-0.0076,0.0019,0.008,-0.009,-4e-05
6004,P,0.0041,0.0011,0.011,-0.025,0.00019
6005,P,0.0059,0.0014,0.011,-0.007,0.0
6006,N,-0.0054,0.0008,0.011,-0.012,-4e-05
6007,P,0.0061,-0.0012,0.009,-0.004,7e-05
6008,N,-0.0049,0.0031,0.013,0.007,-0.0002
6009,P,0.0056,-0.0004,0.002,-0.004,0.00017
6010,N,0.0035,0.0039,0.012,0.015,-9e-05
6011,N,-0.0051,0.0,0.014,0.003,-2e-05
6012,P,0.0045,-0.0015,0.003,-0.001,0.00022
6013,P,0.0067,0.0007,0.002,0.013,4e-05
6014,P,0.004,0.0052,0.012,0.028,-0.00014
6015,N,-0.0046,-0.0031,0.013,0.024,-0.00012
6016,N,-0.0013,0.0009,0.016,-0.01,5e-05
6017,P,0.0031,-0.0012,0.009,-0.008,0.00015
6018,N,-0.0034,0.0004,0.005,-0.005,-0.00014
6019,N,-0.0054,0.0006,0.007,-0.014,-0.00017
6020,N,-0.005,0.0012,0.006,-0.03,7e-05
6021,N,0.0057,0.0009,0.015,-0.006,0.0
6022,P,0.0069,-0.0007,0.012,0.003,0.0001
6023,P,-0.0042,-0.0005,0.011,0.011,-0.0004
6024,P,-0.0061,-0.0019,0.003,-0.01,0.00026
6025,P,0.0059,0.0041,0.005,-0.004,8e-05
6026,P,0.0059,0.004,0.012,0.011,-3e-05
6027,N,-0.0042,-0.0017,0.01,0.007,-2e-05
6028,N,-0.0044,0.0003,0.016,0.023,-0.00023
6029,P,0.0009,0.001,0.013,0.01,-3e-05
6030,N,-0.0056,-0.0007,0.012,0.006,-0.00021
